Provincia;Isla;Municipio;Nombre Playa o ZBM;ID DGE;Clasificación;Grado de Protección;Afluencia maxima anual;Riesgo;Playa o ZBM;ID MAPAMA;Nombre MAPAMA;ID Pilotaje Litoral;Nombre Pilotaje Litoral;Bandera azul;Acceso PMR;Ducha adaptada;Aseo adaptado;Baño asistido;Sombra PMR;Aparcamientos;Aseo;Lavapies;Duchas;Alquiler de sombrillas;Alquiler de hamacas;Alquiler nautico;Area Infantil;Area Deportiva;Longitud (m);Anchura (m);Composición;Color;Condiciones de baño;Condiciones de entorno;Condiciones de acceso;Carga poblacional;Latitud (º);Longitud (º);PSS Registrado DGSE;PSS Nº Registro;PSS Fecha Registro;Fecha de última actualización
Santa Cruz de Tenerife;Tenerife;Fasnia;Las Eras;763190800;Libre;Moderado;Media;Bajo;Playa;667;Las Eras;40514;PLAYA LAS ERAS;No;No;null;null;null;null;No;No;No;Si;No;No;No;No;No;150;13;Grava / Arena;Oscura;Oleaje moderado;Urbana;A pie fácil / Coche;<5.000;"28°11'37.33188642""N";"16°25'22.64079502""W";No;;;07/12/2023
Santa Cruz de Tenerife;Tenerife;Garachico;Playa La Caleta de Interian;764193100;Peligrosa;Moderado;Baja;;Playa;673;La Caleta de Interián;40080;PLAYA LA CALETA DE INTERIAN;No;Si;No;No;No;No;Si;No;No;Si;No;No;No;No;No;300;25;Callaos / Arena;Oscura;Oleaje moderado;Urbana;A pie fácil / Coche;<5.000;"28°22'23.78978217""N";"16°47'28.97773737""W";No;;;07/12/2023
Santa Cruz de Tenerife;Tenerife;Garachico;Playa El Gomero;764193200;Uso Prohibido;null;null;;Playa;;;40667;PLAYA DE GOMERO;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;56;12;Roca / Grava;;;Semiurbana;;<5.000;"28°22'24.40147979""N";"16°46'51.48748029""W";No;;;07/12/2023
Santa Cruz de Tenerife;Tenerife;Garachico;Playa El Muelle;764193300;Libre;Moderado;Alta;;Playa;672;El Muelle;40081;PLAYA EL MUELLE;Si;Si;No;Si;Si;Si;Si;Si;No;Si;No;No;No;No;Si;60;20;Grava / Arena;Oscura;Aguas tranquilas;Urbana;A pie fácil;<5.000;"28°22'14.86666057""N";"16°46'04.78640317""W";No;;;07/12/2023
Santa Cruz de Tenerife;Tenerife;Garachico;Piscinas Naturales El Caletón;764193400;Peligrosa;Moderado;Alta;;ZBM;671;Caletón de Garachico;40082;PLAYA EL CALETÓN   ;Si;No;No;No;No;No;Si;Si;No;Si;No;No;No;Si;No;50;36;Roca;;Oleaje moderado;Urbana;A pie fácil;<5.000;"28°22'21.80486824""N";"16°45'58.21254176""W";No;;;07/12/2023
Santa Cruz de Tenerife;Tenerife;Garachico;Playa Las Aguas;764193500;Uso Prohibido;null;null;;Playa;674;Las Aguas;40083;PLAYA LAS AGUAS;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;250;50;Bolos / Grava / Arena;Oscura;Oleaje moderado;Aislada;A pie fácil;<5.000;"28°22'14.30631278""N";"16°45'04.83215933""W";No;;;07/12/2023
Santa Cruz de Tenerife;Tenerife;Garachico;Playa de la Consolación (El Gincho);764193600;Peligrosa;Moderado;Media;;Playa;;;;Playa de la Consolación;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;10;18;Roca;;Aguas tranquilas;Aislada;A pie difícil;<5.000;"28°22'33.91365346""N";"16°44'35.72497375""W";No;;;07/12/2023
Santa Cruz de Tenerife;Tenerife;Granadilla de Abona;Playa de la Tabaiba;765196500;Libre;Bajo;Baja;Bajo;Playa;;;40022;PLAYA DE LA TABAIBA;No;No;null;null;null;null;Si;No;No;No;No;No;No;No;No;216;26;Grava / Arena;;Aguas tranquilas;Aislada;A pie fácil;entre 20.000 y 100.000;"28°04'39.64091669""N";"16°30'02.87211517""W";No;;;07/12/2023
Santa Cruz de Tenerife;Tenerife;Granadilla de Abona;Playa de La Madera;765196600;Libre;Bajo;Baja;Bajo;Playa;683;El Medio;40021;PLAYA DE LA MADERA;No;No;null;null;null;null;Si;No;No;No;No;No;No;No;No;401;60;Bolos / Callaos;;Oleaje moderado;Aislada;A pie fácil;entre 20.000 y 100.000;"28°04'29.13191565""N";"16°30'18.11142071""W";No;;;07/12/2023
Santa Cruz de Tenerife;Tenerife;Granadilla de Abona;El Tanque del Vidrio;765196700;Libre;Bajo;Baja;Bajo;Playa;682;El Tanque del Vidrio;40020;PLAYA EL TANQUE DEL VIDRIO;No;No;null;null;null;null;No;No;No;No;No;No;No;No;No;514;56;Bolos / Callaos;;Oleaje moderado / Ventosa;Aislada;A pie fácil;entre 20.000 y 100.000;"28°04'17.69228892""N";"16°30'23.71008559""W";No;;;07/12/2023
